authors,freq
AndMarru,277
CittadinidiTwtt,194
MariPanattoni,168
piciaro,138
fdicos10,114
tosochris,70
AleMiglioz,57
SaraDurantini,56
ChiaraBianchini,54
visitorcity,54
danteferraris,49
