message,freq,data,authors,retweeted_authors
rt @tosochris: tema chiave di #pasocial fase sistema e creare una rete @fdicos10 https://t.co/ubhh7uotbm,11,2015-11-17,LombRacx,
"rt @ttmobile_: tt italia 14:40
1.#1dit
2.#pasocial
3.#ioetalks
4.#amicicasting
5.#twittamibeautiful
6.mario cervi
7.fiorella mannoia
8.carl…",11,2015-11-17,realVitoSV,
rt @unitwitts: l'istat su social e web: dalle infografiche per un pubblico generalista agli open data per i ricercatori #pasocial https://t…,11,2015-11-17,gborruso,
rt @andmarru: portiamo #pasocial nei territori per far crescere community e scambio di belle esperienze sull'uso dei social. bella proposta…,10,2015-11-17,belcinque,
rt @angelagallo1: il social media manager. roma 17/11 @fdicos10 @marievafavoino @liviacolare @micheledalena @mattbiff #pasocial https://t.c…,10,2015-11-13,lamiriamlepore,
"rt @cittadiniditwtt: .@liviacolare ""per arrivare alla testa delle persone dobbiamo passare dal loro cellulare"" #pasocial",10,2015-11-17,MAFlumero,
rt @fdicos10: governo alla prova social. 17/11 a #pasocial esperienze @palazzo_chigi @miursocial @mipaafsocial @mi_bact @mef_gov https://t.…,10,2015-11-10,MariPanattoni,
rt @fdicos10: la svolta digitale di @montecitorio. il 17/11 a #pasocial il racconto di @annamasera https://t.co/c4nlm75uiv,10,2015-11-13,robertore62,
rt @l_mart1: @fdicos10 oggi i social sono integrazione dell'informazione pubblica e generano lavoro. #pasocial @cittadiniditwtt,10,2015-11-17,belcinque,
"rt @lucioluci: ho attivato un monitoraggio automatico per l'hashtag #pasocial, per seguire le conversazioni (e ricavare dati) https://t.co/…",10,2015-11-17,Mtcascino,
rt @marchetourism: l'italia nel settore della comunicazione sui social media è oggi locomotiva europea #pasocial https://t.co/ymzlmcldfj,10,2015-11-17,FalcionelliFede,
"rt @social_media_it: #pasocial ""stati generali nuova comunicazione pubblica"" roma 17nov iscriviti: https://t.co/be1pujlzdu #smm https://t.c…",10,2015-11-16,colle_paola,
rt @tosochris: social: strumenti rapidi per comunicare un'emergenza bypassando le lungaggini burocratiche della pa #pasocial #socialprociv,10,2015-11-17,GretaDebernardi,
"rt @ttmobile_: tt italia 15:40
1.#1dit
2.#6yearsofmyworld
3.#francescamichielinblueroom
4.#amicicasting
5.#pasocial
6.giorgio
7.mario cervi",10,2015-11-17,avdorecomello,
